pseudoprofile_id,domain,n_runs,n_union_features_domain,topN_exported,mean_presence_frequency_topN,mean_mean_rank_topN,mean_mean_score_topN
pseudoprofile_FTC_ID044,PSYCHO,5,316,100,1.0,59.91800003647804,0.22113267764449118
pseudoprofile_FTC_ID043,PSYCHO,5,298,100,1.0,60.08200028538704,0.21220586493611335
pseudoprofile_FTC_ID045,PSYCHO,5,299,100,1.0,61.13999983549118,0.22080254882574082
pseudoprofile_FTC_ID038,PSYCHO,5,297,100,1.0,62.228000037670135,0.2311447174847126
pseudoprofile_FTC_ID013,PSYCHO,5,285,100,1.0,62.497999925613406,0.2275528597831726
pseudoprofile_FTC_ID036,PSYCHO,5,320,100,1.0,62.81000000953674,0.22721469074487685
pseudoprofile_FTC_ID014,PSYCHO,5,332,100,1.0,64.39799967765808,0.22406879663467408
pseudoprofile_FTC_ID027,PSYCHO,5,314,100,1.0,64.4700002026558,0.2211446264386177
pseudoprofile_FTC_ID030,PSYCHO,5,294,100,1.0,65.55800002813339,0.2102475070953369
pseudoprofile_FTC_ID004,PSYCHO,5,295,100,1.0,70.78800009250641,0.22560473769903183
pseudoprofile_FTC_ID002,PSYCHO,5,338,100,0.998,71.44199977874756,0.2101261857151985
pseudoprofile_FTC_ID008,PSYCHO,5,287,100,0.996,70.86200012087822,0.20760367050766945
pseudoprofile_FTC_ID003,PSYCHO,5,304,100,0.996,71.63949978470802,0.22280986070632935
pseudoprofile_FTC_ID020,PSYCHO,5,307,100,0.9939999999999999,69.15899997472764,0.22543980032205582
pseudoprofile_FTC_ID032,PSYCHO,5,318,100,0.986,62.516999756097796,0.22886209264397622
pseudoprofile_FTC_ID028,PSYCHO,5,330,100,0.986,65.33250004291534,0.2121458615362644
pseudoprofile_FTC_ID049,PSYCHO,5,328,100,0.9839999999999999,63.62799983024597,0.2220806224644184
pseudoprofile_FTC_ID034,PSYCHO,5,269,100,0.9839999999999999,79.66949996948242,0.21435246720910073
pseudoprofile_FTC_ID024,PSYCHO,5,322,100,0.98,71.49150009393692,0.2200154581665993
pseudoprofile_FTC_ID035,PSYCHO,5,343,100,0.976,63.156000022888186,0.2208045719563961
pseudoprofile_FTC_ID007,PSYCHO,5,338,100,0.976,67.80600017786026,0.22136650398373603
pseudoprofile_FTC_ID037,PSYCHO,5,329,100,0.976,71.26850019454956,0.23077084749937057
pseudoprofile_FTC_ID018,PSYCHO,5,265,100,0.976,71.30400005340576,0.20449927896261216
pseudoprofile_FTC_ID048,PSYCHO,5,304,100,0.9719999999999999,72.18999994039535,0.21621141701936722
pseudoprofile_FTC_ID025,PSYCHO,5,326,100,0.9640000000000001,66.44900028944015,0.22561694532632828
pseudoprofile_FTC_ID029,PSYCHO,5,320,100,0.9640000000000001,67.92049991369248,0.22187070161104203
pseudoprofile_FTC_ID019,PSYCHO,5,346,100,0.96,65.27549989581108,0.22113945513963698
pseudoprofile_FTC_ID023,PSYCHO,5,342,100,0.958,70.03250027418136,0.21257217168807985
pseudoprofile_FTC_ID031,PSYCHO,5,333,100,0.956,65.68199997901917,0.23173341274261475
pseudoprofile_FTC_ID050,PSYCHO,5,359,100,0.956,65.86849974989892,0.2185216860473156
pseudoprofile_FTC_ID011,PSYCHO,5,391,100,0.9520000000000001,69.7060001695156,0.2195848898589611
pseudoprofile_FTC_ID022,PSYCHO,5,289,100,0.9520000000000001,71.7559999203682,0.2004508590698242
pseudoprofile_FTC_ID040,PSYCHO,5,307,100,0.9480000000000001,74.2340000653267,0.2187419891357422
pseudoprofile_FTC_ID015,PSYCHO,5,323,100,0.9460000000000001,68.28449990272522,0.20647721976041794
pseudoprofile_FTC_ID012,PSYCHO,5,276,100,0.9460000000000001,87.63100000381469,0.2002719298005104
pseudoprofile_FTC_ID046,PSYCHO,5,359,100,0.9440000000000001,64.88350013732911,0.2159448829293251
pseudoprofile_FTC_ID026,PSYCHO,5,325,100,0.9440000000000001,75.41500011444091,0.23211609691381455
pseudoprofile_FTC_ID039,PSYCHO,5,288,100,0.9420000000000001,75.62099994421006,0.21033812999725343
pseudoprofile_FTC_ID016,PSYCHO,5,355,100,0.934,66.81150013446808,0.22320113837718963
pseudoprofile_FTC_ID005,PSYCHO,5,358,100,0.9280000000000002,70.73549996852874,0.20815083935856818
pseudoprofile_FTC_ID010,PSYCHO,5,351,100,0.924,71.81400002002717,0.21813375771045684
pseudoprofile_FTC_ID047,PSYCHO,5,247,100,0.9039999999999999,85.73550004482269,0.2110286144912243
pseudoprofile_FTC_ID009,PSYCHO,5,276,100,0.8979999999999998,82.11116648674012,0.20974471554160118
pseudoprofile_FTC_ID017,PSYCHO,5,349,100,0.8919999999999999,77.88466670036316,0.20866168662905693
pseudoprofile_FTC_ID033,PSYCHO,5,256,100,0.8899999999999999,90.63366662025452,0.19817670717835426
pseudoprofile_FTC_ID001,PSYCHO,5,235,100,0.7919999999999997,82.49183313369751,0.19159962177276613
pseudoprofile_FTC_ID006,PSYCHO,5,177,100,0.7640000000000002,106.19616678237915,0.2095218287408352
pseudoprofile_FTC_ID041,PSYCHO,5,151,100,0.73,105.69399973392487,0.20527647837996482
pseudoprofile_FTC_ID042,PSYCHO,5,65,65,0.5815384615384616,125.64743601725651,0.22333847628189968
pseudoprofile_FTC_ID021,PSYCHO,5,112,100,0.5340000000000003,124.5086671257019,0.208144820779562
pseudoprofile_FTC_ID006,SOCIAL,5,1,1,1.0,34.0,0.22874557971954346
pseudoprofile_FTC_ID042,SOCIAL,5,238,100,0.986,72.20499985218048,0.237276604026556
